"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Cyprus","CYP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","400","600","600","600","1006","1009","1014","1412","1409","1363","1255","1340","1459","1180","919","1052","1189","1245","1283","1308","1426","1545","1938.77","2206","2382","2541.39","2543","2505","2542","2584","2921","9336","10016","9427","9320","12526","24819","19304","39638","68345","54723","141079","47740","78724","61313","29940","2446","1996","1409","1395","1188","1323","1182.99","1268","1488","1494","1756","1490.01","1559.21","1327.27","1401.33","","",
"Czechia","CZE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3185","3955","3929","3524","3321","3952","4190","4654","4646","4983","5127","4528","4242","4646","4276","4164","4112","3990","3859","4033","3761","3812","3841","3507","3557","3650","3721","3729","3314","","",
"Germany","DEU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","768100","732000","769900","824900","836200","850200","861700","930900","964500","950900","916021","825676","736404","821784","861817","788675","700436","619318","589193","565071","523777","549483","499021","473786","455971","365323","345153","332893","321107","346038","326304","235901","216890","253010","230161","239889","236411","259352","266087","237854","204084","209142","221772","257647","258343","281368","293037","290511","274281","244047","243146","233883","214408","235107","242743","261744","271185","248237","279213","224394.8","212094.57","187662.85","","",
"Djibouti","DJI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","900","800","900","1000","300","300","300","300","300","300","300","300","100","200","380","300","230","230","230","231","251","385","426","409","409","380","409","426","454","399","360","252","275","300","320","350","400","500","600","700","800","900","1000","1100","1200","1571","1299","1229","1206","1058","1590","1667","2167","1702","2298","2012","2220","2022","2102","2270.14","2322.5","3088.9","","",
"Dominica","DMA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","500","600","600","600","500","500","500","600","600","500","600","700","800","900","1001","1024","1047","1070","642","1445","1514","1545","800","700","640","644","500","500","500","458","552","711","794","882","950","1030","1079","1212","1200","1200","1200","1198","950","700","579","694","677","699","772","700","662","625","527","1029","990","809","784","762","860.4","527","287.97","","",
"Denmark","DNK","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","568602","629954","777402","840080","862798","830021","840667","1059777","1454630","1264254","1217228","1388991","1429006","1430485","1823180","1751851","1905048","1792979","1734709","1724138","2013518","1838243","1909718","1845546","1827875","1772745","1825356","1681965","1945755","1896235","1475700","1751146","1953827","1614289","1873316","1999033","1681518","1826852","1557335","1405000","1534089","1510694","1442348","1031221","1090596","910598","867721","653053","690584","777752","828089","716387","502790","668480","745343","869312","670448","904873","789362","639655","733000.49","466503.08","","",
"Dominican Republic","DOM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1300","1600","1700","3200","4200","4100","3500","3200","4600","4800","5200","4600","5600","9200","6810","5906","7053","4594","5086","7885","10658","12003","13169","12849","13875","17009.9","16988.1","20129","12663","21663","19495","16839","12846","12857","22832","17874","12894","14535","10171","8418","11015","13217","17261","18097","14223","11193","12956","13709","15382","14233","14490","14005","13662.83","13188.58","13783.56","11894.89","14640.68","15724.54","13920.42","16066.01","14064.13","17666.88","","",
"Algeria","DZA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","25500","30400","21500","16900","17300","18300","20350","21150","18250","23150","24234","23715","28313","31243","35758","37693","35122","43475","34143","38678","48000","56000","64500","65000","65500.9","66000.6","65261.8","94093.8","106437.3","99187.42","90196.24","79702","95273.91","101899.97","135409.86","105878.67","81995.8","91585.4","92337","102399","113159.9","133628","134324.8","140959","113464.2","126260.3","145763.8","147363.13","138862.43","127777","93464","101814.86","105543.4","100973.14","97683.17","95798.9","100004.86","103875.32","115057.99","100553.1","71518.72","79200","","",
"East Asia & Pacific (excluding high income)","EAP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4850516","5316768","5653517","5857487","6112428","6425662","6757463","7038291","7589424","7757265","7796849","8368112","9061305","9371248","9492527","9679488","10048763","10813853","11055544","10605961","10563834","11183609","11853941","12367432.99","12519932.14","13007050.1","14227966.59","15490767.69","15637890.65","16437180.58","16958092.33","17993643.94","19511498.68","20908607.5","22889178.1","24929639.16","26483302.35","27231209.92","28237319.75","28575023.47","28768753.83","28694415.25","29111406.97","29918635.58","30684125.33","30919201.53","31367002.85","31607549.35","31200139.41","31338965.02","31722035.43","32199009.33","32722146.97","33357980.23","34626730.1","35020532.94","34620459.44","34582146.43","34039834.39","33449425.87","32444701.48","31763219.01","","",
"Early-demographic dividend","EAR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","8267945.01","10175200","12038496","12352549","15172411","13900925","15627895.01","17479143","18567472","17201036","20435724","18752481","13030107","11414710","13617993","12876431","13781653","12505351.99","14125192.01","14729294.01","14084464","14440978.58","15289942.64","13466194.33","15904051.45","17514868.7","19382881.22","19038039.61","21490233.44","21735538.31","21648914.65","22136440.76","23667521.99","26104300.97","29544412.84","27457864.61","28327388.06","27254381.88","23370039.37","28193237","30977922.13","29271084.75","30271327.65","28112921.83","31806795.7","32063038.32","30556757.94","31101694.16","31484015.44","31047157.75","29131702.77","32666974.38","30170711.49","30962701.88","29815251.15","31197289.81","30601703.29","31940188.92","35054696.39","32694575.96","32289654.17","33768335.84","","",
"East Asia & Pacific","EAS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","11501285","12566164","13093306","13136281","13158241","14077100","14709764","15820273","17239100","17468769","18154673","19468021","20800488","21695176","22024095","22163167","22840414","23686264","23996546","23392594","23760463","24879999.43","25582040.92","26611907.85","27717532.28","27646082.65","29880405.87","30879937.5","31112261.55","31403966.47","31174926.02","30766216.8","31849951.78","32677211.91","33924263.52","35437765.08","36845590.71","37665060.11","37887205.48","38121043.11","37837468.1","37519878.85","37352598.37","38472596.19","38685316.26","39019767.22","39426677.71","39964481.84","39445087.76","39013674.66","39307771.59","39536938.23","39851164.94","40424977.17","41962369.94","41924684.7","40803457.38","40720635.43","40370798.4","39652321.55","38471324.6","37713814.18","","",
"Europe & Central Asia (excluding high income)","ECA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","98200","91600","71500","140000","133600","154483","143811","230994","194852","254903","270442","263814","289374","251481","249952","282072","321931","302664","344199","434487","549203","573054","613260","674157","674747.09","677936.12","686927.13","734469.4","786608.8","551195.7","438512.7","410017","6556210.2","5359159","4678776","5431848.3","5700927.7","5581823.8","5500974.5","5236107.9","5009715","4543702.2","4150493.8","4125107.6","3811963.51","3988978","4134551.1","4451876.4","4263564","4647933.2","4909623.6","5067080.21","5028378.33","5055827.5","4830713.88","5150341.23","5339974.47","5571125.58","5824748.67","5908649.77","5848448.65","5913289.09","","",
"Europe & Central Asia","ECS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","7822578","8227795","8341651","8759214.1","9516754.1","10733043.4","11420465.8","11999989","11796369","11254031","11926735","12067648","12211701","12491207","12634036","12416208","13398952","13309489","12592808.1","12511545.7","12689844.9","12782404.65","12335901.1","12821978.62","13192412.66","12939623.45","12729283.13","12784969.56","13105849.56","12350456.6","11073009.87","11027932.85","19015619.48","17579893.27","16962312.61","18376668.35","18542587.3","18931558.69","18107692.48","17277761.59","17361916.39","17054180.42","16530342.84","15663813.94","15106292.83","14885403.59","14570007.8","14647817.53","14189124.54","14400533.77","14927153.37","14451675.79","14088587.7","14527580.14","14706968.91","15227104.04","14722836.36","15983695.35","16121227.48","15213243.14","15031896.59","14689002.28","","",
"Ecuador","ECU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","44300","38600","42500","49700","46300","53500","48200","57500","68900","64890","90970","102530","106840","151565","175470","214198","280638","421954","610399","600266","629977","526740","585911","336156","849180","1056800","959932","610035","800393","611582","288913","330525","226817","286633","330248","508572","702974","536887","322348","503032","596489","587770","319169","399526","356774","464387","469060","408926","505571","498679","399874","508793","501881","509031","656448","632571","709181","622687","597465","607745.23","636310.68","863618.6","","",
"Egypt, Arab Rep.","EGY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","83900","86800","112800","109000","128000","96200","93100","74700","74900","74100","70758","77268","71209","78514","89344","97574","91764","91541","84915","120481","121397","120715.58","131732.64","132306.39","136839.54","174109.77","183653.98","184712.89","232128.79","233105.8","251036","284431","282401.8","302830.7","311601.6","335301.5","340435.4","371333.2","406205","422666","384315","428634","425163","431124","393495","349554","375895","372492","373816","387399","385210","375355","354237.7","356858.09","344792.08","344113","335614.33","370959.67","373286","397043.34","418684","425770","","",
"Euro area","EMU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3518587","3646538","3631936","3819608.1","4048204.1","4225091.4","4277556.8","4505673","4649384","4443630","4474947","4349672","4295475","4482674","4473543","4305408","4172042","3854528","3842488.1","3630522.7","3774260.9","3962553.65","4049768.1","4007215.62","4105346.57","4106895.33","4143919","4133269.16","4167618.76","4084211.9","3831734.17","3688759.85","4216902.2","4269249","4166952.6","4363835","4205408.6","4148801.4","4195584.9","4084592.5","3953546.15","4107635.1","3848883.5","3840709.3","3793622.2","3812309.5","3839281.57","3677312.5","3541774.21","3456034.66","3577393.4","3415003.05","3155305.35","3284082.45","3516392.3","3338511.06","3360230.57","3454227.39","3360424.4","3103516.29","2778705.63","2808966.22","","",
"Eritrea","ERI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475","2706","3559","3252","1038","1852.9","6997.05","12712","8880","7852","6689","7404","4027","8813","2232","1965","3330","3586","2939","3924.35","3616.68","3695.73","6230.8","3306.13","3929.59","5798.24","5640.4","5100","4574.16","","",
"Spain","ESP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","907101","970920","993406","993455.1","1068109.1","1188455.4","1204233.8","1308394","1454802","1386100","1426066","1374338","1405539","1431154","1429814","1436129","1418459","1337716","1313419.4","1153271","1170003.5","1181503.5","1239595","1178905.5","1194425.5","1222906.8","1233945.6","1269198.6","1327483","1308066.7","1131229.2","1078644.3","1091922.4","1099902.6","1108820.3","1195723.1","1189563","1220295.2","1256867.3","1191034.6","1063175","1090797.3","883691.5","889386.4","811738.8","855282.1","962036.1","820309.1","923446.9","932442.3","975411.6","1011425.2","931464.8","990347.09","1064867.75","978106.38","917210.36","953789.68","936512.23","888698.24","804179.01","808544.14","","",
"Estonia","EST","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128996","147185","124091","132576","108720","126057","121594","113112","113347","105492","102365","80208","88625","99581","86884","99444","102580","98504","95731","81580","66613","69454","68883","73195","75656","82820","87051","86755","74142.44","72235.55","","",
"Ethiopia","ETH","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","8300","8600","9100","9600","12000","15900","16200","16200","14600","14400","17200","19100","14800","4700","5900","3930","2970","2472","2515","2800","3507","3828","3750","3900","4300","4000","4100","4000","4066","4236","4945","4226","4585","4175","5285","6325","8770","10370","14000","15858","15681","15390","12300","9213","10005","9450","9890","13254","16770","17047","18058","24041","28952","38371","50119","45519","50000","56001","57166","59002","60002","60650","","",
"European Union","EUU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4549642","4760127","4911804","5255575.1","5578831.1","5760259.4","5816244.8","6312550","6908932","6488954","6576532","6627754","6641896","6877278","7384543","7315642","7279035","6734878","6535941.1","6373310.7","6915035.9","6924351.65","7116674.1","7168965.62","7215976.57","7077973.33","7146600","7016010.16","7327214.76","7053539.9","6164980.17","6259523.85","7090236.28","6686019.27","6923693.61","7281611.05","6657097.6","6729400.89","6466986.98","6125584.69","6092709.39","6201328.22","5864592.04","5392749.34","5401545.32","5192544.59","5186004.7","4787050.13","4681084.29","4740359.16","4883769.7","4606199.37","4096769.63","4456636.72","4741487.58","4727061.79","4557500.53","4916912.82","4693387.31","4233346.75","3992857.7","3722519.7","","",
"Fragile and conflict affected situations","FCS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","880335","882174","924902","935527","991968","1041325","1080344","1094992","1193591","1248172","1307350","1411837","1434445","1514147","1462735","1489462","1572081","1560485","1646046","1710458","1762494","1720661","1675814","1702888.24","1813583.92","1846686.71","1974282.32","1983392.78","2013117.97","2114877.69","2183403.36","2141791.77","2676205.72","2545422.72","2591865.61","3011518.07","2848522.5","3033384.92","3309136.04","3258527.52","3489690.72","3687144.74","3876129.46","4081396.28","4469448.55","4551137.13","4538188.86","4594920.83","4596020.71","4733348.02","4775132.14","4809431.48","4972729.55","5101362.96","5170244.31","5083566.14","5371353.09","5680088.6","5566177.42","5530437.12","5392709.76","5093721.93","","",
"Finland","FIN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","65500","67000","64900","80500","62900","73200","70800","73700","92200","86500","80700","90200","87600","98800","109978","109536","116959","115331","135711","130397","159979","149396","157618","167447","169308","169022","156424","153500","159264","146558","132985","119320","151753","156297","164269","167485","179079","180100","171689","160568","156428","149977","142302","121874","135422","131733","149446","164677","148666","154626","156097","153702","162321","167787","182956","182865","192881","190625","175200.39","163917.29","140055","124971","","",
"Fiji","FJI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3000","3000","3000","3200","3400","3500","3500","3500","3800","3800","3900","3900","4700","4700","4800","5036","5589","7935","9250","20243","20404","23608","24931","24227","25633","26113","26440.4","27774.5","29120","29475.3","33175.77","29518.38","25188.2","28814","30116","30307","26622","29721","30667.61","39206","42366","45106","40320","37237.8","49632.66","47390","48733","47247","46595","46387","41943","46907","46851","42639","43312","41266","44826","47500","42729.41","41698.87","37462.12","32874.48","","",
"France","FRA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","651576","674920","654311","689299","709330","745249","799698","810052","829986","750969","752458","761294","725937","764694","747194","714393","713101","656550","696895.3","649366.3","652110.9","673271.88","668074.64","687885.47","677794.54","695266.4","716684.58","694891.48","741153.08","719597.4","699221.8","657306.5","668299.5","680185.5","703920.6","688459.3","643217.9","642478.5","610416.5","657039.8","694452.6","671905.7","701925","709038.7","664898.2","598482.8","595153.9","553685.7","500162.8","440199.3","452243.5","502006.02","473308.8","540519.91","548001.9","541593.04","558248.89","553672.21","578630.46","523735.6","478162.62","510109.6","","",
"Faroe Islands","FRO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","109375","120220","144252","137830","138990","144686","166294","173324","166187","176296","207772","207274","208152","246261","246635","285618","341962","310490","316675","266745","275064","243343","250518","329955","346839","372338","349675","386519","360683","302839","273020","228316","248430","246294","237708","287796","304587","329145","364497","358362","454399","515909","525991","620991","599386","565260","623122","620834","518267","351018","393875","354956","360471","487140","542836","585564","568435","701892","660056","653118.8","646289.7","540603.52","","",
"Micronesia, Fed. Sts.","FSM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","400","500","500","600","600","700","800","1000","1000","1000","1500","1500","1500","1500","1500","1500","1500","1503","1505","1505","1720","1720","1777","1777","1777","3564","3864","3766","2973","2266","2367","12552","16740","18168","22310","8082","8808","9781","15807","12589","23460","19471","22926","33753","31972","32361","15442","20873","25445","28606","31526","38142.06","48420.62","40972.1","52496","71567","88690","101417","137920.65","181769.51","193747.86","166333.97","","",
"Gabon","GAB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","6000","6500","7000","7000","7000","8000","8000","8000","9000","9000","10000","10000","10000","12000","12000","14900","14820","14010","17800","21000","19800","20146","20605","19449","21000","20953","20223","22185","22091","20500","20000","22000","24000","31789","31015","40437","46113","44193","53754","51255","47826","42871","41570","45479","46072","43863","41521","37814","31326","29589","32692","36522","36500","36600","36855","33000","31000","29000","29000","29000","28880","29860","","",
"United Kingdom","GBR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1015166","953603","1003963","1007369","1034141","1114808","1137842","1101735","1115640","1162168","1172523","1203736","1169713","1212893","1172153","1064186","1125300","1079326","1114783","990248","892658","876998","903151","838959","827671","881311","836442","923910","911931","865632","771669","797221","818709","864998","883701","917363","876085","899036","923219","840719","754478","769481","728987","643819","654495","670334","624684","619692","595993","590853","612629","601079.96","631326.52","632342.04","755988.02","706148.04","697254.31","725343.14","699262.96","618928.18","626404.8","634418.61","","",
"Georgia","GEO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38100","18240","7413","3560","2453","2583","3001","1413","1791","1636","1811","3306","11988","9974","14746","44068","48443","50026","46049","26547","12070","15520","19020","22520","44708.69","137423.38","203523.5","251755.45","207150","217575.05","","",
"Ghana","GHA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","33800","36500","45700","59800","76600","76500","85696","98990","74080","130954","171517","232662","281189","221664","219146","261391","246601","271933","274631","236979","231566","240510","244163","251503","269563","276216","319818","381814","362050","361675","395872","362538","423425","372619","335437","352844","476744","447127","445541","496770","454346","450353","375182","393547","420674.4","381637.89","378642.99","327294.01","335694.14","304584","351458.65","349760.3","356346.57","289951.74","323585.15","344325.91","324076.57","368178.76","359977.37","318005.72","370969.15","392761.55","","",
"Gibraltar","GIB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","",
"Guinea","GIN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4000","4000","4000","4000","5000","5000","5000","6000","6000","6000","6000","8300","8300","9500","12100","13370","9920","9120","10000","18453","20000","22000","24000","26000","28000","30000","33000","35000","38000","41000","44000","49500","55000","60600","63800","67860","63360","62441","69764","87314","91513","105404","93754","121925","97730","109138","104718","82073","94513","127746","113504","184962","198282","230049","207348","184652","159402","321169","293007","359837","309570","325120","","",
"Gambia, The","GMB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4500","4800","5300","5300","5300","6200","6200","6200","6700","6700","7447","7739","7884","12294","12695","12695","12695","18092","14972","11143","13265","14739","9212","11653","11882","10712","13262","14642","13852","19789","21602","24985","18045","21308","22781","23699","31601","32743","29033","32639","29016","34527","37405","37366","32817","34955","37477","43574","42881","45884","46624","41500","36062","43726","51500","55968","58261","60461","49526","56198.66","50989.79","52651.97","","",
"Guinea-Bissau","GNB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","700","700","600","600","800","900","700","700","1300","1400","1500","1400","1700","1700","1700","1669","3575","4275","4283","2936","4166","3643","3977","2671","2751","3743","3700","4100","4690","5400","5400","5000","5200","5350","6000","6328","7000","7200","6700","6200","6315","6848","7324","6153","6650","6983","7067","6500","6804","6721","6584","6549","8750","11750","15750","21150","28450","38350","52253.67","60150","62392.45","63221","","",
"Equatorial Guinea","GNQ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","900","500","800","1000","1000","600","1200","1100","3700","3500","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","2500","2500","2019","2341","4000","3600","4400","4000","4000","4000","3700","3500","3600","3507","5069","2306","5040","6090","6005","7001","3634","3600","3550","3550","3500","3750","4000","4533","5400","7669","7376","7115","7834","6926.15","6067.92","6423.26","6455.29","6377","6407.61","6417.72","5958.28","6307.12","","",
"Greece","GRC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","87100","85100","80100","80100","83600","89700","91000","93200","99900","94200","85099","94164","92049","103346","92278","94936","105962","106867","100871","103282","105651","101460.18","104637.8","99847.4","105998.8","112584.9","122552","132002.4","119599.3","131797.5","132381","138644.9","152611.8","159100.5","181124.9","151716.5","151051.2","156978.1","110146.4","120591.75","99343.7","94196.4","96078.9","93781.4","93891.4","92430.5","98239.7","96095.8","85885.3","83181.8","70179.8","63246.49","61044.2","64169.77","61260.7","65372.6","75533.3","78316","77714.8","83173","71476.01","59632","","",
"Grenada","GRD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","300","500","900","700","1100","1300","1200","1300","1300","1400","1300","1500","1700","1700","1634","1700","1700","2958","2238","1491","1419","788","982","1479","1555","1727","2296","2214","2092","1782","1911","2071","2115","2212","1599","1499","1577","1530","1837","1828","1701","2250","2171","2544","2039","2048","2163","2207","2386","2648","2182","2411.47","2379.63","2856.67","2665","2472.5","2740.27","2444.15","2540.42","2058.89","1913.89","1023.98","","",
"Greenland","GRL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","34786","41895","43308","33317","38248","40643","44529","44916","34265","39245","39461","38354","41792","44297","51260","47593","44644","59865","68233","83135","103738","107487","106206","99311","86274","94949","102906","100413","120337","168786","143331","114164","113267","116775","117417","128890","116018","113851","123291","160253","159711","158485","195624","175321","212988","234864","252959","233754","241899","214667","209446","214493","222894","275432","292441","268371","273175","310741","301052","265179","259209","271027","","",
"Guatemala","GTM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1000","1300","2100","2500","2700","2100","3000","2500","1900","3000","3400","3300","3100","3700","3881","4530","3653","3074","5504","4898","3507","4265","4284","2376","2963","2707","2119","2426","2805","3614","6894","6513","6578","7582","7211","8253","7653","6896","10847","21018","39203","29704","23427","23696","10012","18979","17569","17965","23291","20149","22332","19844.51","15291.25","17686.39","18075.6","15153.76","15981.69","15375.72","14075.13","15714.26","11489.61","11082.06","","",
"Guam","GUM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","100","100","100","100","100","100","100","100","100","100","100","100","100","100","91","131","95","184","200","162","253","315","399","290","348","433","425","320","395","340","476","514","388","388","398","266","260","271","355","324","624","673","435","456","532","280","418","326","329","462","167.77","120.49","101.48","108.68","87.41","71.62","69.8","152.42","94.85","90.2","47.14","25.69","","",
"Guyana","GUY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5700","7400","7900","9200","10400","12000","12300","13900","16000","16600","17400","15500","17600","19000","23617","20123","20956","31907","35978","35288","31530","32798","32794","35366","37239","37579","37330","36715","36480","35304","36872","40741","41252","44123","46367","47900","48583","53998","52840","53844","48887","53405","48017","59695","56719","53370","53763","47448","42168","43605","45188","43185","53844","49268","37746","36558","42142","42977","41388","39087","39986.9","34216.25","","",
"High income","HIC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","18511541","19865968","20541192","20705300.1","21517556.1","23061107.4","24690551.8","25502471","26808134","25883621","27702394","28943462","28773223","29646239","30445413","29958665","32096827","32182219","32588549.1","33149020.7","33902340.9","35087859.95","35164692.1","36672893.74","38955527.02","38794283.22","40366430.18","40306803","41117341.28","41122803.73","38055310.48","36821464.41","38538453.3","37445748.36","38527949.61","37926466.45","36744359.11","36597876.67","32314641.4","33491277.43","32520888.26","32266066.32","32048066.14","30963475.95","31651932.25","30735029.33","29861417.56","29324458.82","28244733.89","27263336.74","26770897.66","27015508.27","25899742.18","25572490.5","26448382.67","25880373.14","24054203.5","25794947.69","25828897.79","24757529.1","23798101.67","23684629.76","","",
"Hong Kong SAR, China","HKG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","49850","54200","58790","60300","62430","65581","63412","66960","110330","115320","133224","124787","131778","124496","138184","145947","151170","153638","156127","182549","186797","174598","171880","180742","192036","190295","204436","217666","227390","232985","224239","220288","220183","217545","211010","194999","183856","186000","180000","127780","157012","173972","169790","157444","167544","161964","154536","154147","158126","158965","168010","170720","155230","170129","160789","145193","142775","127554","124299","122929","119428","115178.98","","",
"Honduras","HND","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1700","2550","2550","2550","3400","4050","2600","4000","5700","5450","5000","5700","5750","4450","3861","5005","4629","5924","6768","8803","6550","6295","7940","11331","9471","11185","22188","25974","20579","17463","16140","27377","23963","24820","14337","25741","21260","23780","15468","22569","17915","22292","15789","17343","17569","21139","22546","16636","14160","12408","12075","11181","12198","11849","8639","10759","10600","10800","11300","11912","15818.82","16250.39","","",
"Heavily indebted poor countries (HIPC)","HPC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","766117","795867","851267","907667","998417","1062267","1125171","1215141","1291191","1398883","1519453","1609338","1684911","1718878","1746136","1829228","1810909","1944680","1894495","1802164","1821623","1836077","1841346","1943088.1","2062996","2071200","2246168","2411555.9","2424425.21","2472460.93","2604377.2","2464589.75","2676130.31","2612681.36","2466101.08","2684737","2844579.8","2921566.17","2849658.79","2990452.56","3081173","3117565.24","3015925.5","3341625.25","3579429.58","3599790.39","3370536.49","3560646.51","3542273.64","3714250","3881645.64","4106131.75","4251186.9","4276894.71","4304576.52","4340156.25","4712393.64","5328834.68","5498743.85","5578891.14","5448689.27","5776940.27","","",
"Croatia","HRV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26732.08","26630.27","17481.01","16268.05","18237","17041.49","21946.08","18909.19","21068.24","18551.12","21235.54","19957.04","30172.12","34693.09","37876.13","40225.63","49062.08","55788.5","52867.3","71396.06","64389.18","75832.34","80369.89","73945","73301.74","69940.39","70558","64581.41","71637.7","62422.22","","",
"Haiti","HTI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3000","3000","3000","3100","3300","3400","3400","3500","3500","3500","4000","4000","4000","4000","4000","4000","4000","4150","4300","4500","5000","5500","6000","6502.1","6901","6400","6000","5767.9","5517.9","5517.9","5167","5216","5016","5615","5215","5514","6014","6313","6610","7010","7410","7810","8110","8310","9660","11010","12260","13510","14810","16010","13710","16530","16510","16510","16510","16510","16510","16510","16350","16350","16350","16220","","",
"Hungary","HUN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4900","6800","7250","6850","6600","7520","8010","8970","10100","7500","6500","6800","6300","7474","8368","8838","9932","12772","10802","11219","11163","12989","15972","16247","22704","18612","19065","18811","20324","14969","16234","8445","8678","7886","8307","7314","7606","7406","7265","7514","7101","6638","6750","6536","7242","7609","7543","7024","7394","6366","6216","7048","6717","6472","7463","5926","5091","5636","5249","4836","5483.1","4600.53","","",
"IBRD only","IBD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","11619237.01","13865273","16255692","16794224","20301594","18637659","21293561.01","23011673","24874461","23380879","26690119","25587302","19957093","18608556","21166272","20304940","21746207","20933672.99","22924713.91","23867707.81","23425308.1","24695219.08","26369487.64","25499899.39","28514353.97","30680325.22","34197439.72","33887531.84","36809224.85","38630251.51","37472928.87","39497083.23","48797926.41","50531953.45","57036212.24","57292420.49","59249971.82","57504172.16","51411456.51","57247570.6","59142438.17","55943241.81","56885566.19","54065104.41","58746133.63","58429062.15","56393577.96","56703167.36","56719399.82","56554683.14","54055590.81","58473353.41","55908092.2","56605591.93","56239320.44","57575615.83","56491773.48","57993001.31","60555760.63","57793872.19","56502773.78","58372987.64","","",
