"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Antigua and Barbuda","ATG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","600","800","800","800","700","800","800","800","800","800","900","900","1200","1500","1590","1601","1613","1821","1620","1219","1171","1157","950","1063","1465","2407","2400","1985","1488","990","875","1481","1692","1046","1095","1576","1434","1639","1675","1626","1723","1797","2343","2541","2473","2948","3044","3042","3389","2416","2219","3055","5951","4605","3114","3165","3165","3165","3165","3165","3115","3205","","",
"Australia","AUS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","55645","55278","61336","67099","67532","77276","88908","92457","102837","91079","97197","106169","116297","119490","133002","104200","104577","136571","130603","137912","136873","153148","171926","169101","177014","162845","183734","212829","219446","197279","234541","244070","250134","248620","220397","227721","220000","220461","228009.44","239333","206380","205227","207516","224550.23","243559.05","250986.28","212900","190499.31","183642.7","179100.49","181106.4","177034.68","167631.31","160248.53","150778.96","151861.12","172901.49","164975.92","171467.13","166483.64","176602.57","171026.48","","",
"Austria","AUT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3550","3540","3830","4000","4220","4370","4150","3410","3260","2700","2330","1940","1520","900","850","840","970","870","800","700","1100","1200","1400","1100","700","700","640","600","600","550","533","500","479","420","388","404","450","465","451","432","439","362","350","372","400","370","360","350","350","350","350","350","300","350","350","350","350","350","350","350","350","350","","",
"Azerbaijan","AZE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30339","21733","18901","10545","6702","5161","4760","20866","18797","10893","11188","6435","9258","9001","4061","2949","1524","1206","1131","1061","911","857","929","626.2","739","965","1614","1177","2089","1464","","",
"Burundi","BDI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","9200","5300","7200","10600","9700","20200","16600","12300","15000","15600","13300","16900","7500","8500","10982","14547","20333","18900","15682","11250","14767","11880","12131","11366","11361","11369","11840","12009","11677","10762","17395","20994","24073","17000","22000","21101","3041","20296","13426","9199","17315","8964","11000","14697","13855","13400","12978","11309","18265","12615","17305","10654","12309","13232","16054","20120","21805","18999","20310","20372","19589","19550","","",
"Belgium","BEL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","63700","61600","59900","62000","59500","59700","62800","63800","68200","58700","53000","60200","59000","53300","46820","49027","44496","45360","50577","47125","45615","49279","47841","48580","47871","45115","39466","40231","41541","39633","41460","39891","37120","36089","34254","35599","30823","30500","30835","29876","29800","30209","29028","26831","26735","24567","23019","24541","22609","21722","22418","22477","24659","25662","26793","24721","26970","24649","23005","21350","19953.8","17937","","",
"Benin","BEN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","26000","28000","30000","25000","26000","20000","18800","35600","35900","36600","43110","43404","43202","40673","39402","37533","37104","36528","35879","35700","37832","37768","37521","34628","35275","36360","38738","41889","37266","41860","38234","35083","32488","39221","39923","44379","42175","43785","42139","40437","32324","38415","40663","41648","39988","31497","41507","36386","37495","38928","39791","38848","40364","42416","47583","36477","49806","48203","54959","73484.9","73965","74615","","",
"Burkina Faso","BFA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2000","2500","2500","3000","3500","3500","4000","4500","4500","4500","5000","5000","4000","5000","5000","5000","6000","6000","7000","7000","6500","7500","7000","7100","7300","7400","7600","7800","7900","8000","7000","7000","7500","7000","8000","8000","8000","8000","8335","7600","8500","8500","8500","9000","9000","9000","9500","10200","11093","11800","14520","16060","20300","20500","20700","20750","21770","25208","27299","27803","29104","29731","","",
"Bangladesh","BGD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","351333","400071","448776","447448","496086","543000","543253","541781","592000","588723","625384","672020","749592","749675","751112","566730","564542","566539","564135","559768","555940","554476","587868","619587","633171","642270","648468","639185","654668","656439","653552","689727","709332","764824","770790","792389","814787","829426","839141","959215","1004264","1068417","1103855","1141241","1187274","1333866","1436496","1494199","1557754","1821579","1726586","1600918","1535715","1550446","1591190","1623837","1674770","1801084","1871225","1895619","1919505","1982482.99","","",
"Bulgaria","BGR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","7800","7200","8600","6700","9600","16083","22975","38081","55584","78673","88601","95404","106417","97110","112759","151933","160894","129863","91261","76065","113687","93953","100982","108207","100996","89663","97314","99005","105877","91351","49254","50056","24016","13658","6585","8012","8854","11237","18946","10556","8663","8674","15008","12035","8252","5434","7544","8903","8864","8978","10769","9623.26","9581.1","9669.93","8687.39","8828.73","8614.22","8559.04","8598.91","10329.65","6295.8","9009.27","","",
