country,GID_0,ISO_3,region,subregion,ID,ws_avg,GroundWater_GeomaticDeq50,GroundWater_RcghDeq50,GroundWater_RchgDeq50,Species_Richness_3taxa,MSpecies_Richness_9taxa,TMSpecies_Richness_8taxa,soil_biodiversity,Species_Richness_4taxa,TSpecies_Richness_4taxa,TempVelocity_terr_all,Monfreda_prod_sum_allcrops,IHME_dbl_burden_malnut,Herrero_lvstk_kg,Watson_fish_ind_nind_0004,food_prod_terr,food_prod_terr_lim,DALYS_2000,life_expectancy_SHDI_2000,ADM2_ADM1_ADM0_2010,TerrStat_hotspots_bin_sum_quant0.1,TerrStat_hotspots_sum_quant0.1,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005
aruba,ABW,ABW,americas,caribbean,1,NA,NA,0.00120099994819611,0.00120099994819611,0.11446439474821092,2.2824412981669107,1.371993939081828,NA,0,0,0,0,NA,0,143046.828125,0,0,NA,NA,0.06141113862395286,0,0,0.5400645236174265,6.666666666666667,6.666666666666667,31.26656977335612,31,32.59990310668945,32.333333333333336,7,7.333333333333333,2.9332367976506553,2.9332367976506553,0,0,8,9,0,6.666666666666667,0,0
afghanistan,AFG,AFG,asia and the pacific,south asia,2,2.5552311439544564,4.338936277382151,0.5373641313394798,0.547202591995131,0.3576667699196988,0,0,53.75509610287593,0.4848500385750005,0.13856927348769624,0.682360907261581,657.1728187885916,0.13753720896505314,67.99217244967365,NA,8.094739184283344e-4,0.01337253276814296,89946.4532644007,55.51099782295539,0.04911203720096664,1,10000,0.20251986418761284,0.002216557685913776,0.013299346115482655,6.99599322665759,6.692341793195168,7.931103207670531,7.626288374154937,0.006095533636262884,0.02294137204920758,0.023977857506286827,0.02813361401409074,1.1786545494846503,1.2142303003435664,2.8952676493405742,3.9279618752078025,0,2.335087529425609,0.5546935608999224,0.3894491854150504
angola,AGO,AGO,africa,southern africa,3,0.4451414733108452,5.7281132151039,4.761244218009485,5.261128083894234,1.0469980860121413,0.12520577702397123,0.11643976891776343,60.59401879549711,1.3617522328847844,0.34145960682051824,0.7209558918112935,444.62545287721537,0.13999911393566555,313.91710990699534,80410.9880102885,5.850922541065138e-4,0.00956072898195357,102621.67606820572,46.67354242903887,0.08252526001606414,2,10001,0.17177775936687284,13048074.515457034,13048074.52413701,4.529285957009485,5.017026106696935,5.130088833916592,5.611804767309875,0.00886739218057235,0.02331049308074701,0.023280818180999318,0.044680233508655666,1.1418782748891576,1.2030767163778047,1.7390165255945182,13048077.03779128,0.04138116350933763,1.2550310738025359,0.316471852747548,0.009404809888485825
anguilla,AIA,AIA,americas,caribbean,4,NA,NA,NA,NA,0.12414228171110152,2.1848714351654053,1.2298147678375244,NA,0,0,0,NA,NA,NA,34192.2265625,NA,NA,NA,NA,0.14421910047531128,NA,NA,0.444938063621521,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
åland islands,ALA,ALA,europe and central asia,central and western europe,5,NA,0.1707915522158146,10.853023576736453,5.944625520706177,0.28468990491496193,0.14488761126995087,0,117.25011335100446,0,0,0.6285628861710224,0,NA,79217.40959821429,89059.90617766204,0.01233549936053653,0.17040669607619444,NA,80.19199625651042,0.06946627795696259,2,1100,0.32716701048667785,397682157.7777778,397682157.4074074,12.381078503348611,33.44444444444444,11.01744200966575,32.333333333333336,0.8636363636363636,1,2.1285978853702545,2.1285978853702545,0,0,3.3181818181818183,397682159.6666667,0,4.20702605762265,0.9545454545454546,0
albania,ALB,ALB,europe and central asia,central and western europe,6,0.3366482651799135,105.79401781537268,8.580568957328797,9.857291839339515,0.593996711276673,0.42558227113343466,0.3708580486734412,117.69856853313274,0.6750274257491816,0.22562851764406447,1.0117680072712452,8153.611518392786,NA,38664.01027255588,2142.846674255982,0.01564165382835738,0.2435892037745496,25923.131242945823,75.41831852839543,0.347984001376828,2,10100,0.3964540666164873,14510024.671171172,14510024.828828828,14.638416040511359,15.054054054054054,12.837962521920128,13.265765765765765,0.2199546485260771,0.5011337868480725,0.15073814862851231,0.15073814862851231,0.015873015873015872,0.02040816326530612,6.219954648526077,14510030.29954955,0.16326530612244897,2.3697640659992927,5.476190476190476,3.761904761904762
andorra,AND,AND,europe and central asia,central and western europe,7,0.04168824159673282,43.81370765822275,1.2032646877425055,3.1175312655312672,0.5444465024130685,0,0,123.25006539481026,0.616077755178724,0.24251145124435425,1.0134928481919423,1.707509530593906e-10,NA,22179.74907844407,NA,0.00321112120567639,0.04435949759532117,25110.904854910714,NA,0.08214843911784035,1,10000,0.5090717673301697,4.285714285714286,4.285714285714286,24.857142857142858,24.857142857142858,28.142857142857142,28.142857142857142,4.571428571428571,7,0,0,0.7142857142857143,0.42857142857142855,5.857142857142857,7,0,7.428571428571429,2,2
united arab emirates (the),ARE,ARE,asia and the pacific,western asia,8,5.526093108022315,4.794157736115238,0.22332559545066857,0.21091285051448205,0.2120095316111187,1.115952794167896,0.4948915195249498,2.3904538898499843,0.33697597749629243,0.15543773911180628,1.0725509123476231,3865.4051370460897,NA,2206.706630838029,91212.57877384016,0.00503050127273257,0.04014338829744438,20511.77333175069,NA,0.21404526474269917,2,10100,0.31197235042428495,18941422.319735393,18941423.16868798,7.223508906410852,8.026460859977949,9.849760266478786,10.62954796030871,1.3136818687430478,2.253615127919911,0.05690254539654694,0.05690254539654694,0.027808676307007785,0.024471635150166853,3.507230255839822,18941425.673649393,0,1.3612671073472273,0,0
argentina,ARG,ARG,americas,south america,9,2.9204108550638392,7.977730404525551,2.850513983466011,2.959792454797279,0.4988335907549451,0.15482119682760873,0.1126648263372063,63.39346766821119,0.6336514061872227,0.1257270369840396,0.5359474176020042,5407.048910438663,0.11619719862937929,3382.1871370994154,31165.636899947953,0.00712133527618155,0.1118704101801881,29618.92514100267,73.92636731182438,0.1571413099913251,3,10101,0.2357337279524639,3055199.572844128,3055199.5988019467,5.450819803791177,5.313290902283788,5.916813684827371,5.777736178709597,0.11417716456708658,0.1835132973405319,0.04800234078993317,0.05491304019229947,0.9138922215556888,0.9321885622875425,1.388997200559888,3055201.158342693,0.23695260947810437,1.69665869467975,0.9784043191361728,1.0513647270545892
armenia,ARM,ARM,europe and central asia,eastern europe,10,0.7802897715418223,82.82161503821088,1.2190620395602054,1.3278102800842342,0.5562922221918901,0,0,108.60754637132612,0.7165389343311912,0.2066143739216945,0.5961432723622573,8682.264946302477,0.14300772547721863,16946.124563923186,NA,0.01335189930273892,0.21429474442797505,29984.802408854168,70.50890934258176,0.2835367294518571,2,10100,0.3350861766004345,4709394.052631579,4709394.118421053,11.331486222180692,11.25,12.232585119153118,12.149122807017545,0.21978021978021978,0.4835164835164835,0.09775985338582668,0.09775985338582668,0.44835164835164837,0.31868131868131866,5.527472527472527,4709399.688596491,0.3516483516483517,2.3677923072170426,2.230769230769231,2.723076923076923
american samoa,ASM,ASM,asia and the pacific,oceania,11,NA,NA,NA,NA,0.03881270252168178,3.5507495403289795,2.4615230560302734,NA,0,0,0,0,NA,NA,8284.908203125,NA,NA,26048.216796875,NA,0.1048961579799652,0,0,0.34594953060150146,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
antarctica,ATA,ATA,antarctica,antarctica,12,NA,NA,NA,NA,4.642229190831313e-6,0.04916948280401117,0.02454591810150501,NA,5.390693802025607e-4,1.80346811346953e-4,0.8875589334669605,NA,NA,NA,1621.9163130327852,NA,NA,NA,NA,NA,NA,NA,NA,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
french southern territories (the),ATF,ATF,asia and the pacific,oceania,13,NA,NA,4.799999878741801e-4,4.799999878741801e-4,0.00730240188803025,1.3672655426611111,1.041800788068396,160.8411748712713,0.04624197952003262,0.17237680551415652,0.5998739980166956,NA,NA,NA,32695.84796688954,NA,NA,NA,NA,0.06519858539104462,NA,NA,0.0032154987947862657,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
antigua and barbuda,ATG,ATG,americas,caribbean,14,NA,NA,NA,NA,0.14571641633907953,2.2100570599238076,1.2356287240982056,191,0,0,0,0,NA,0,25494.716959635414,0,0,25520.1875,NA,0.14494989812374115,0,0,0.5326936691999435,3.3333333333333335,5,21.60669008890788,21.166666666666668,23.940023104349773,23.5,4,5.833333333333333,1.7308219224214554,1.7308219224214554,0,0,6.333333333333333,6.333333333333333,0,3.8758680125077567,2.3333333333333335,1.1666666666666667
australia,AUS,AUS,asia and the pacific,oceania,15,5.653692933744863,0.7966088128661293,2.4455978648039607,3.048410445254769,0.43548261750329315,0.5303554531905857,0.26419522936128,30.13916198654076,0.8483559973071508,0.17642138895264595,0.6605039460373173,1004.013051131926,NA,2255.5555085474475,2654.596870005475,0.00155230427738203,0.02281698224983898,26278.74609375,78.71645210474914,0.10528937727212906,3,11100,0.05704592440444105,3044677.110367826,3044677.108670474,3.285823254616906,3.2207156835336876,3.4438049041480636,3.3779603818043853,0.03933449317095607,0.04142420061191433,0.017331643790601908,0.01945511412792929,1.0343651888735577,0.9896414501969725,0.19469274301597778,3044677.3113343185,0.09918611394404783,1.3798660191195884,0.49455076289319494,0.6616873637690723
austria,AUT,AUT,europe and central asia,central and western europe,16,0.0311519315869295,26.547586125304015,7.490968986032408,8.134649897680607,0.5649141601023783,0.02506670394343484,0.01384989219167071,119.34394700886226,0.607085150658133,0.08933421470726388,0.8477957351889401,12145.946100640656,NA,40074.73045646838,NA,0.02047637327524051,0.30697299959543267,30520.436918535303,78.39181804458438,0.07185596760199518,3,11100,0.45453358507179187,0.7356002775850105,0.9090909090909091,13.917949395242621,13.563497571131158,14.949871680705106,14.595419847328245,1.9312977099236641,2.6092990978487163,0.16824525414346198,0.16824525414346198,0.27966689798750866,0.2227619708535739,5.376821651630812,5.473282442748092,1.0659264399722415,2.3055681355664666,2.0548230395558638,2.1956974323386538
azerbaijan,AZE,AZE,europe and central asia,eastern europe,17,1.5065749870078744,32.05408478592058,1.337295053946851,1.5911673648804086,0.5896362151515321,0,0,66.64125842885579,0.6816011824551262,0.2166396402866488,0.514493238559623,4965.630152363086,0.1436444131391389,29256.594015583814,NA,0.01032104098720494,0.15923110508485394,36346.00902171851,64.4250051078598,0.23049947568445608,2,10100,0.3698406296730773,135236072.27162367,135236072.1350531,12.433425746755562,19.389984825493173,12.737879187109982,19.6752655538695,0.8404858299595142,0.4574898785425101,0.15681751763073656,0.15681751763073656,0.3821862348178138,0.3497975708502024,5.264777327935223,135236077.12822458,0.3368421052631579,2.4077823190071324,2.6639676113360324,3.230769230769231
burundi,BDI,BDI,africa,central africa,18,0.04639363340652598,18.876394608081917,4.491144714264062,4.928808553531147,1.3607686002033588,0,0,107.84977929356,1.6542234276049437,0.5415120986513436,0.9194345030540856,12776.080206045584,0.10407288967057912,3295.038616012315,NA,0.01685521208584482,0.2776785737041668,119372.44249201278,48.08351883568322,0.0750052682317484,3,10101,0.5255739197441159,137219402.4600639,137219402.4600639,14.34888557036989,21.53993610223642,14.531090449961379,21.712460063897762,0.07849829351535836,0.034129692832764506,0.06656919366450459,0.0337570166614696,0.4778156996587031,0.4880546075085324,7.09556313993174,137219409.571885,0,6.261838555234284,0.33447098976109213,0.04778156996587031
belgium,BEL,BEL,europe and central asia,central and western europe,19,0.5749218751606828,4.993418393583174,13.366525885131624,13.65841319836596,0.5091529472065823,0.1563467288146788,0.09812179757137106,119.40836956841603,0.5135189642599423,0.06408813108659582,0.540977331623435,13501.902516187954,NA,225313.16361629684,314.63017541013267,0.04894413630924517,0.7035314299072569,31780.286021205357,77.43603955677577,0.06693184958504779,2,10100,0.6522989832130927,6.392857142857143,5.660714285714286,28.274622758797236,27.989285714285714,25.804979925496237,25.519642857142856,7.291071428571429,6.935714285714286,1.1088439368255162e-4,1.1088439368255162e-4,0.0035714285714285713,0.10714285714285714,7.060714285714286,7.1875,1.8857142857142857,3.265583422088197,2.375,0.7625
benin,BEN,BEN,africa,west africa,20,1.9884345686568647,1.8059555127271112,3.699791494607054,4.419786884127173,1.1353074977969566,0.10458051342835084,0.06108063315610967,52.38246499167549,1.4718823540977568,0.41865933869491545,1.047115201455772,3648.17734742862,0.1452242776054388,1244.4304139970163,167259.42238451086,0.00459227766030156,0.07552389996733552,83246.46105742872,55.80299767282817,0.13595604315421908,1,10000,0.3955878374054809,0.014619883040935672,0.03654970760233918,5.7330797352986025,5.420321637426901,8.016695674094889,7.701023391812866,0.02046783625730994,0.062134502923976605,0.009727909805608052,0.029454960051448882,0.021198830409356724,0.01023391812865497,3.9232456140350878,4.6608187134502925,0.08187134502923976,1.636363533287369,0.025584795321637425,1.4992690058479532
"bonaire, sint eustatius and saba",BES,BES,americas,caribbean,21,NA,NA,2.207292079925537,13.43350887298584,0.1163559127599001,2.1928391456604004,1.3113863468170166,NA,0,0,0,0,NA,0,462.0355072021485,0,0,NA,NA,0.06141113862395286,0,0,0.2721310518682003,0,0,9.766542315483093,9.25,9.766542315483093,9.25,0,0,1.5067280530929565,1.5067280530929565,0,0,5,5,0,3.2598143219947815,0,0
burkina faso,BFA,BFA,africa,west africa,22,3.2200184612874403,0.1558504012415315,1.5807880258800566,2.116970757142579,0.9542654695002412,0,0,43.66095297364988,1.2265654574320508,0.41596758179878773,1.106294678805838,1068.0910702962385,0.22447933259358616,1735.3045433690943,NA,0.00154171936191557,0.02483243051064061,105157.9969112817,50.93404545421233,0.10006967972619175,0,0,0.3904970979562958,0.0030553009471432934,0.012221203788573174,6.442206308086313,6.120073327222731,10.76943554253233,10.447296058661777,0.007027192178429576,0.02474793767186068,0.0052083062027379135,0.005214798087471712,0.40238313473877174,0.21081576535288726,4.098686220592729,4.875649251451268,0.05866177818515124,1.8671843924090434,0,3.7149404216315305
bangladesh,BGD,BGD,asia and the pacific,south asia,23,1.8539018474501037,0.65063318844056794,10.21063305170907,10.79873662972013,0.7555167620587914,1.4153241130072602,0.9635330540513292,191.29257147589396,1.1533294945850356,0.9648499029728772,0.4923444616342275,29486.980548424017,0.14920452885060628,68715.15454859166,882147.0737732806,0.04643839597197426,0.7411586554312476,44271.764127530434,65.98524607942437,0.02938385423820747,2,101,0.6737895525864821,87158299.25930102,87158299.24239008,17.709500099881414,21.861330326944756,18.585528962620558,22.701803833145433,0.2802585193889542,0.2925969447708578,0.34116332042600006,0.34116399105362966,0.00763807285546416,0.006462984723854289,8.72385428907168,87158308.01465614,0.3525264394829612,2.892426158090316,4.976498237367802,5.321974148061105
bulgaria,BGR,BGR,europe and central asia,central and western europe,24,0.6637314063520475,10.869196329896202,3.419706562075429,3.964487614187063,0.615142228290186,0.02775665025000632,0.0360299387338712,83.40956865185686,0.6915043832945384,0.27125762338207077,1.0097578554739637,6413.942477497347,NA,16762.96721758532,2096.382618918138,0.01019178789969527,0.16205416520068583,46975.685302872385,71.53032405286135,0.2033143157552405,2,10100,0.47781773196943733,3639803.036158192,3639803.0079096043,13.263471430145419,13.12824858757062,12.630194689233086,12.496045197740113,0.6632710809281268,0.6802490096208262,0.0522006740084952,0.0522006740084952,0.1420486700622524,0.15280135823429541,5.208828522920204,3639807.7491525426,0.5840407470288624,2.7805973268121935,3.5891341256366722,3.2009054895302773
bahrain,BHR,BHR,asia and the pacific,western asia,25,NA,13.419995307922363,0.01892167776823044,0.01825799979269504,0.09571399465203284,1.6041429042816162,0.8078626990318298,1.000016689300537,0,0,0.4989872063128133,8981.343750004084,NA,NA,82824.290625,NA,NA,22541.341796875,NA,0.1011556312441826,0,0,0.6520442598395877,644245099.4,644245100.4,30.282172884259904,59.3,33.13931574140276,61.3,8.428571428571429,9,1.1781402890171324,1.1781402890171324,0,0,8,644245100.6,0,5.532603434153965,0,0
bahamas (the),BHS,BHS,americas,caribbean,26,7.5,9.020550207260552,10.28526486248535,7.9612936860648915,0.2251599117946089,2.2112776951843434,1.372562502207381,92.32172247845192,0.10853393633517576,0.10175235592272695,0.466804802633115,0,NA,761.8129048493714,13119.149009008086,1.1912522612758506e-4,0.00164563554225668,30497.9921875,NA,0.1812947988510132,0,0,0.10986493416571405,337806416.9325843,337806416.8764045,8.088850588779508,26.685393258426966,6.291362281896096,25.168539325842698,0.44,0.48,0.9496894953125714,0.9788678202059358,0,0,1.6666666666666667,337806418.03932583,0,2.1858278022209805,2.38,0.4666666666666667
bosnia and herzegovina,BIH,BIH,europe and central asia,central and western europe,27,0.00556083990959009,92.8999549542697,10.79286823550669,11.780626139961756,0.5704374662242256,0.25725046114994454,0.2205235376681626,113.96313820435452,0.642688415261467,0.19964172714946488,0.7156962265905279,4273.081553688418,NA,12786.52287527231,7721.818782983824,0.00701401071406647,0.11103467690722588,29242.912099984977,74.4789995780358,0.3081121490551875,2,10100,0.4030869195166116,0.02403846153846154,0.37259615384615385,11.199971247177858,10.842548076923077,11.864634733360548,11.507211538461538,0.21394230769230768,1.125,0.13256856807822934,0.13256856807822934,0.11658653846153846,0.16105769230769232,5.615384615384615,5.993990384615385,0.625,2.0662007791778216,2.40625,1.3882211538461537
saint barthélemy,BLM,BLM,americas,caribbean,28,NA,NA,NA,NA,0.05851395626086742,2.181045174598694,1.2298147678375244,NA,0,0,0,NA,NA,NA,25219.5478515625,NA,NA,NA,NA,NA,NA,NA,NA,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
belarus,BLR,BLR,europe and central asia,eastern europe,29,0.02977717423227982,8.16100843681281,3.905201147892052,4.81016278646798,0.6127269224745954,0,0,105.42479647006913,0.5895603713487448,0.13837993932563974,0.869006777263206,6861.015426733757,NA,34579.5950459729,NA,0.01330154600933367,0.2064723239646006,44580.707896839485,69.17720387198709,0.20220023457682415,2,10100,0.4944623373781217,1061009.9051383398,1061009.9174901186,10.287308576197773,10.00098814229249,11.538332457419852,11.25098814229249,0.472071181413742,0.5096391497775581,0.11961570901000237,0.12447053938308193,0.04597132970835393,0.01828966880869995,4.575135936727632,1061014.097826087,0.5358378645575878,2.6558293020348116,1.685121107266436,3.0916955017301038
belize,BLZ,BLZ,americas,mesoamerica,30,0.23790356350859548,36.00567540295165,15.874296264601622,14.940863531417842,1.1368577782926497,1.1845661735440909,0.7544196264642873,215.11580184818237,1.4249264564897108,0.343141093515401,0.8461205123364122,5973.347649677916,0.102050320592834,725.1451925765302,65478.60056569317,0.00734922276071876,0.10058730839227792,29725.4395409059,67.47794344898466,0.16277318578980834,2,10100,0.16993834978590408,40064993.47014926,40064993.43283582,5.9214999938645745,7.902985074626866,4.697165400356394,6.701492537313433,0.030418250950570342,0.09885931558935361,0.19403164109073134,0.19403164109073134,0,0.0038022813688212928,2.55893536121673,40064996.38059702,0,1.1837421331568816,1.9163498098859315,0.21292775665399238
bermuda,BMU,BMU,americas,caribbean,31,NA,NA,NA,NA,0.00666675111278891,1.6456806659698486,1.8219157457351685,93,0,0,0,NA,NA,NA,6227.3193359375,NA,NA,26993.189453125,NA,NA,NA,NA,0.5465041697025299,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
