country,GID_0,ISO_3,region,subregion,ID,ws_avg,GroundWater_GeomaticDeq50,GroundWater_RcghDeq50,GroundWater_RchgDeq50,Species_Richness_3taxa,MSpecies_Richness_9taxa,TMSpecies_Richness_8taxa,soil_biodiversity,Species_Richness_4taxa,TSpecies_Richness_4taxa,TempVelocity_terr_all,Monfreda_prod_sum_allcrops,IHME_dbl_burden_malnut,Herrero_lvstk_kg,Watson_fish_ind_nind_0004,food_prod_terr,food_prod_terr_lim,DALYS_2000,life_expectancy_SHDI_2000,ADM2_ADM1_ADM0_2010,TerrStat_hotspots_bin_sum_quant0.1,TerrStat_hotspots_sum_quant0.1,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005
denmark,DNK,DNK,europe and central asia,central and western europe,63,0.16411776245456108,7.453781542354604,17.471105973895003,18.07699087625597,0.4000703997715953,0.6558134468063492,0.3799073209966146,122.64483469063894,0.3359471785187556,0.05027367276237669,0.8661880453717917,38294.99316155541,NA,178105.7906333502,10020.643382939475,0.07362726702288995,1.1156561569363523,32621.062345096983,76.91871397522674,0.0808672788574802,2,10100,0.6731140674466873,58368752.74292186,58368752.30124576,19.713647347806635,22.288788221970556,16.72179636105947,19.378255945639864,2.9336437718277066,2.121071012805588,0.37691918354731097,0.37691918354731097,0,0,5.735739231664726,58368757.1200453,1.0989522700814902,2.9350983489725446,5.3294528521536675,3.536670547147846
dominican republic (the),DOM,DOM,americas,caribbean,64,2.264725192686764,114.65600168051785,6.632205031301877,5.669237827142216,0.3705922594862483,1.794812898045664,1.1206353476989943,101.43211046964085,0.473544416118848,0.5120256214308769,0.5883088547891747,13092.707105701484,0.08947123164805866,16491.77493420217,12731.916978344474,0.0184587384165498,0.2990134495398155,31830.55689509306,68.73948497094479,0.14088816287755562,2,10100,0.35508576351738136,25349722.994940978,25349723.0455312,12.624983557662052,13.650927487352446,12.418498914396396,13.446880269814503,0.5307167235494881,0.6604095563139932,0.11604139560575948,0.11604139560575948,0.9266211604095563,0.9300341296928327,6.098976109215017,25349728.94772344,0.2593856655290102,2.6676452348053252,1.6843003412969284,1.0273037542662116
algeria,DZA,DZA,africa,north africa,65,6.414725240283333,8.515012542479084,0.20954100885763116,0.19414062692730383,0.1646301488968895,0.02444448164965303,0.02478282544224459,8.32547861330013,0.2752244491555958,0.10217658435997416,0.894039208325905,429.5856433061236,0.25612183446463166,1215.7883557708208,150350.82433077338,6.972801134069567e-4,0.01100541403808287,29716.554585728212,68.75221055026772,0.1589635702914973,2,10100,0.07815523156816151,140298.86636396302,140298.8761637213,2.432877466257331,2.2632541730637312,2.774160010207307,2.604514421977591,0.10786972003528143,0.1455685864558492,5.189774261268451e-4,5.189774261268451e-4,0.30580510274084477,0.27898467871026755,1.0229982685962562,140299.9984973704,0.032667995165136715,0.8302873407535367,0.07066087354219072,0.21998627944203064
ecuador,ECU,ECU,americas,south america,66,0.7730729484033678,21.123944863208305,14.732018111609388,15.340994570886805,1.5006764519931115,0.5127723157725854,0.3522387570196426,147.0186618770276,1.988967682845458,0.6722154954260129,0.8725371068432842,5688.891358749784,0.09455892006118656,12350.06532819178,187712.34112653215,0.00893602279247595,0.13937643367996932,29093.358307821887,72.83910651246379,0.13860433625146812,3,10101,0.2533220802459105,80199456.19406469,80199456.27075692,5.762481324879417,10.081360453484494,6.969899991752235,11.235078359453151,0.30931763075857294,0.5057152753723588,0.20253489888742324,0.24230549557084463,0.3588500173190163,0.3072393488049879,2.896778662971943,80199459.20073357,0.04433668167648078,1.1030707795974248,0.657083477658469,1.1832351922410806
egypt,EGY,EGY,africa,north africa,67,6.690615828134821,8.064058241101932,0.1186119074041999,0.13843141238615322,0.1630601792320341,0.3541822657386532,0.24820118020181356,2.246694662661999,0.29528448225233034,0.12277718144101286,1.1586005650785856,8312.384559550488,0.291636431588996,6314.601342487483,15154.151173345765,0.01090434798815927,0.05554145733009418,33786.57955691651,70.24429098052028,0.26052759648919727,2,10100,0.058452497286081186,5181103.332399408,5181103.497392793,2.5635164146089986,2.667600591485719,3.1929142936303836,3.2953537240252158,0.3647995007021376,0.548603526291153,0.03076075323903067,0.03174546395805546,0.017241379310344827,0.01653924169137151,0.7673584022468404,5181104.115339715,0.06678108909346232,0.9651164033191962,0.06826337962240599,0.04751131221719457
eritrea,ERI,ERI,africa,east africa and adjacent islands,68,5.410449722711591,7.406153102970955,0.4445138835063437,0.3228120219006842,0.6292013852021219,1.049508282728156,0.615190242428677,15.932307792956962,0.7311782781622194,0.4488765852993454,0.7727963797912893,245.16178626436988,0.1790409192941976,1460.2858639069946,5821.039514960748,5.145038232246019e-4,0.00793767570484874,72806.37501337758,55.006720542907715,0.06136173276403516,1,10000,0.2132512893367327,27889398.025974028,27889398.025974028,6.043468626087062,7.42447026657553,6.995807556069129,8.36226930963773,0.004155124653739612,0.018005540166204988,0.02728065070555191,0.03432872341022315,1.6842105263157894,1.6412742382271468,3.39196675900277,27889402.206425153,0.027700831024930747,0.8790688783219316,0.029085872576177285,0.15997229916897507
western sahara*,ESH,ESH,africa,north africa,69,9.428767141025022,1.961713339565425,0.1780544575244084,0.15252284321582218,0.14834855561737062,0.31492370007690307,0.25972985572946433,1.6628839588659452,0.2712698471627075,0.08153474603141725,1.0209486038246476,0,0.16181669600275406,135.41397467166942,82216.30001035739,1.9627889054794787e-5,2.7114619642407416e-4,55723.3828125,64.69247770767812,NA,1,10000,0.017008976240335996,1875531.573216885,1875531.576128093,0.9875119626704059,0.8911208151382823,1.771675262155978,1.6745269286754003,0.0026223776223776225,0.006993006993006993,9.040442957139064e-4,9.764321963241311e-4,0.040501165501165504,0.040501165501165504,0.14656177156177155,1875532.49286754,0,0.7940088519023293,0,0
spain,ESP,ESP,europe and central asia,central and western europe,70,2.3774304372441057,33.502497725581016,3.347674512864754,3.612722737753252,0.5033909458170238,0.3491361842125718,0.31738789576388016,78.0223676021517,0.5634722370157743,0.30740252209818636,0.8192656396190372,13129.972780773507,0.217515766620636,24702.864244785414,37943.856501464856,0.01964296933171409,0.3152760070581151,28648.842848849687,79.65836367447079,0.07309685032227606,3,11100,0.3600009546253679,9722149.073858492,9722149.348079162,11.325037310767353,11.511447419480016,12.537615268163988,12.718535765101539,1.4498440748440748,1.9573804573804574,0.08520665883220539,0.08520665883220539,0.07822245322245322,0.06795738045738045,3.953612266112266,9722152.080325961,0.5582120582120582,2.354955392639906,1.9601091476091477,2.4485446985446986
estonia,EST,EST,europe and central asia,central and western europe,71,0.00365055083928286,4.839979497721145,8.116186819530553,8.390486485178748,0.5302193564943748,0.06715384887924974,0,136.8926789387618,0.4439057852104003,0.13245918151519864,0.961942393678188,3906.4887106606952,NA,13773.00350912492,31289.65559244636,0.0069850178249556,0.11015413753776115,43059.22654308524,71.25566544350701,0.20206248616257988,1,100,0.30207691903087197,112689736.14257425,112689736.34059405,7.347373018350721,13.333663366336634,8.994185969965336,14.894059405940594,0.33019853709508884,0.8265412748171369,0.18176366546693834,0.18176366546693834,0,0,3.219435736677116,112689738.77623762,0.5182863113897597,2.733007473289157,0.1974921630094044,1.4117032392894462
ethiopia,ETH,ETH,africa,east africa and adjacent islands,72,3.085214383135918,35.40748360416102,1.9183193791598632,2.1206844935130427,0.8264970503969187,0.01355999570742202,0.00769092966632422,60.67987442759989,1.0430006708989361,0.4801914701061397,0.8779313716476446,1159.7594434543637,0.18001533112552884,3921.1954919606,NA,0.0019769695499001,0.03117046492297876,93025.31490555368,50.322800173824,0.0693261166120872,2,10100,0.31194939003023914,1124000.714520712,1124000.7175115896,6.325421792243612,6.121878271272618,7.666954139009724,7.459099745775385,0.004638288321986983,0.014139298271863545,0.006564976568309696,0.026933267075794923,0.3908880077803546,0.36851948829206255,3.7607540959078327,1124005.2216988185,0.004787910525922047,1.3252157711823092,0.8310765317573128,1.4118351163312635
